# Document with the sample ids and the antimicrobials that genes/mutations that confeer resistance to have been detected in the sample
## Confidential
reads_ID,ampicillin,cefoxitin,chloramphenicol,ciprofloxacin,gentamicin,nalidixic acid,tetracycline
SRR1556071_1.trim.fq.gz,"blaTEM-1B (blaTEM-1B_AY458016), blaTEM-182 (blaTEM-182_HQ317449)",None,None,None,None,None,"tet(A) (tet(A)_AJ517790), tet(A) (tet(A)_AF534183)"
SRR1556097_1.trim.fq.gz,"blaTEM-1B (blaTEM-1B_AY458016), blaTEM-206 (blaTEM-206_KC783461)",None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR1619553_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407698_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295573_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295574_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295803_1.trim.fq.gz,None,None,None,None,None,None,tet(D) (tet(D)_AF467077)
SRR3295847_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AJ517790)
SRR2407777_1.trim.fq.gz,blaCARB-2 (blaCARB-2_M69058),None,floR (floR_AF118107),None,None,None,tet(G) (tet(G)_AF133140)
SRR2533440_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295854_1.trim.fq.gz,None,None,None,None,None,None,None
SRR1637052_1.trim.fq.gz,None,None,None,aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918),None,None,None
SRR1637072_1.trim.fq.gz,None,None,None,aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918),None,None,None
SRR2407542_1.trim.fq.gz,None,None,None,qnrS2 (qnrS2_DQ485530),None,None,None
SRR2407600_1.trim.fq.gz,None,None,None,aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918),aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR2407601_1.trim.fq.gz,None,None,None,aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918),aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR2407610_1.trim.fq.gz,None,None,None,aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918),aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR2407669_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918),None,None,None
SRR3295527_1.trim.fq.gz,None,None,None,aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918),aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR3295637_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,qnrB5 (qnrB5_DQ303919),aac(3)-IId (aac(3)-IId_EU022314),None,tet(A) (tet(A)_AF534183)
SRR3295642_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),floR (floR_AF118107),qnrB19 (qnrB19_EU432277),aac(3)-VIa (aac(3)-VIa_NC_009838),None,tet(A) (tet(A)_AF534183)
SRR3295652_1.trim.fq.gz,None,None,None,qnrB19 (qnrB19_EU432277),None,None,tet(C) (tet(C)_AY046276)
SRR3295653_1.trim.fq.gz,None,None,None,qnrB19 (qnrB19_EU432277),None,None,tet(B) (tet(B)_AF326777)
SRR3295658_1.trim.fq.gz,None,None,None,qnrB19 (qnrB19_EU432277),None,None,tet(C) (tet(C)_AY046276)
SRR3295666_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,qnrB19 (qnrB19_EU432277),None,None,tet(B) (tet(B)_AF326777)
SRR3295667_1.trim.fq.gz,None,None,None,qnrB19 (qnrB19_EU432277),None,None,tet(C) (tet(C)_AY046276)
SRR3295689_1.trim.fq.gz,None,None,None,qnrB19 (qnrB19_EU432277),None,None,"tet(A) (tet(A)_AJ313332), tet(A) (tet(A)_AF534183)"
SRR3295750_1.trim.fq.gz,None,None,None,qnrB19 (qnrB19_EU432277),None,None,tet(B) (tet(B)_AF326777)
SRR3295802_1.trim.fq.gz,None,None,None,qnrB19 (qnrB19_EU432277),None,None,None
SRR3295910_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,qnrB19 (qnrB19_EU432277),None,None,tet(B) (tet(B)_AF326777)
SRR3295926_1.trim.fq.gz,blaCARB-2 (blaCARB-2_M69058),None,"floR (floR_AF118107), catA1 (catA1_V00622)",qnrB19 (qnrB19_EU432277),aac(3)-IV (aac(3)-IV_DQ241380),None,tet(G) (tet(G)_AF133140)
SRR3295934_1.trim.fq.gz,blaCARB-2 (blaCARB-2_M69058),None,floR (floR_AF118107),qnrB19 (qnrB19_EU432277),None,None,tet(G) (tet(G)_AF133140)
SRR3295945_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,qnrB19 (qnrB19_EU432277),None,None,tet(B) (tet(B)_AP000342)
SRR3932930_1.trim.fq.gz,None,None,None,aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918),aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR3933030_1.trim.fq.gz,None,None,None,aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918),aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR3933036_1.trim.fq.gz,None,None,None,aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918),aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR3933071_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,aac(6')-Ib-cr (aac(6')-Ib-cr_DQ303918),aac(3)-VIa (aac(3)-VIa_NC_009838),None,tet(A) (tet(A)_AF534183)
SRR1752833_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,gyrA (p.S83F),ant(2'')-Ia (ant(2'')-Ia_X04555),gyrA (p.S83F),None
SRR2407787_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407795_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295599_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR3932939_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407540_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,floR (floR_AF118107),qnrS2 (qnrS2_DQ485530),aac(3)-IV (aac(3)-IV_DQ241380),None,tet(A) (tet(A)_AF534183)
SRR3295659_1.trim.fq.gz,None,None,None,"qnrB19 (qnrB19_EU432277), qnrB36 (qnrB36_JN173058), qnrB56 (qnrB56_JX259317), qnrB68 (qnrB68_KC580657), qnrB82 (qnrB82_KX372672)",None,None,tet(C) (tet(C)_AY046276)
SRR3295681_1.trim.fq.gz,None,None,None,"qnrB5 (qnrB5_DQ303919), qnrB19 (qnrB19_EU432277), qnrB36 (qnrB36_JN173058), qnrB56 (qnrB56_JX259317), qnrB82 (qnrB82_KX372672)",None,None,None
SRR3295870_1.trim.fq.gz,None,None,None,"qnrB19 (qnrB19_EU432277), qnrB82 (qnrB82_KX372672)",None,None,None
SRR3295953_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,"qnrB5 (qnrB5_DQ303919), qnrB19 (qnrB19_EU432277), qnrB36 (qnrB36_JN173058), qnrB82 (qnrB82_KX372672)",None,None,tet(B) (tet(B)_AF326777)
SRR1106609_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,None
SRR1122600_1.trim.fq.gz,None,None,None,None,None,None,None
SRR1272497_1.trim.fq.gz,None,None,None,None,None,None,tet(C) (tet(C)_AF055345)
SRR1300672_1.trim.fq.gz,None,None,None,None,None,None,tet(C) (tet(C)_AF055345)
SRR1544237_1.trim.fq.gz,None,None,None,None,None,None,tet(C) (tet(C)_AF055345)
SRR1553749_1.trim.fq.gz,None,None,None,None,None,None,"tet(C) (tet(C)_AY046276), tet(C) (tet(C)_AF055345)"
SRR1562599_1.trim.fq.gz,blaTEM-1A (blaTEM-1A_HM749966),None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,tet(C) (tet(C)_AY046276)
SRR1562600_1.trim.fq.gz,None,None,None,None,None,None,"tet(A) (tet(A)_AY196695), tet(C) (tet(C)_AY046276), tet(C) (tet(C)_AF055345)"
SRR1813455_1.trim.fq.gz,None,None,None,None,None,None,tet(C) (tet(C)_AY046276)
SRR2407565_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,tet(C) (tet(C)_AF055345)
SRR3295831_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3295878_1.trim.fq.gz,None,None,None,None,None,None,None
SRR3932886_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR3933068_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR1203019_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),floR (floR_AF118107),None,None,None,tet(A) (tet(A)_AF534183)
SRR1220706_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),floR (floR_AF118107),None,None,None,tet(A) (tet(A)_AF534183)
SRR1257300_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),floR (floR_AF118107),None,None,None,tet(A) (tet(A)_AF534183)
SRR1257307_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),floR (floR_AF118107),None,None,None,tet(A) (tet(A)_AF534183)
SRR1514721_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),floR (floR_AF118107),None,None,None,tet(A) (tet(A)_AF534183)
SRR1514724_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),floR (floR_AF118107),None,None,None,tet(A) (tet(A)_AF534183)
SRR1514768_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),floR (floR_AF118107),None,None,None,tet(A) (tet(A)_AF534183)
SRR1525269_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),floR (floR_AF118107),None,None,None,tet(A) (tet(A)_AF534183)
SRR1060582_1.trim.fq.gz,None,None,None,None,None,None,None
SRR1122619_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(B) (tet(B)_AF326777)
SRR1122635_1.trim.fq.gz,None,None,cmlA1 (cmlA1_M64556),None,None,None,None
SRR1122659_1.trim.fq.gz,None,None,None,None,None,None,None
SRR1181566_1.trim.fq.gz,None,None,None,None,None,None,None
SRR1200748_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AP000342)
SRR1200761_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AP000342)
SRR1202997_1.trim.fq.gz,None,None,None,None,None,None,None
SRR1203044_1.trim.fq.gz,None,None,None,None,None,None,None
SRR1220721_1.trim.fq.gz,blaCARB-2 (blaCARB-2_M69058),None,floR (floR_AF118107),None,None,None,tet(G) (tet(G)_AF133140)
SRR1299364_1.trim.fq.gz,None,None,None,None,None,None,tet(C) (tet(C)_AY046276)
SRR1300595_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,ant(2'')-Ia (ant(2'')-Ia_X04555),None,None
SRR1300663_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,ant(2'')-Ia (ant(2'')-Ia_X04555),None,None
SRR1300722_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,ant(2'')-Ia (ant(2'')-Ia_X04555),None,None
SRR1514746_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,tet(C) (tet(C)_AY046276)
SRR1544208_1.trim.fq.gz,"blaCMY-2 (blaCMY-2_X91840), blaTEM-1B (blaTEM-1B_AY458016)",blaCMY-2 (blaCMY-2_X91840),floR (floR_AF118107),None,None,None,tet(A) (tet(A)_AF534183)
SRR1544246_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,"ant(2'')-Ia (ant(2'')-Ia_HQ880250), ant(2'')-Ia (ant(2'')-Ia_X04555)",None,None
SRR1544295_1.trim.fq.gz,None,None,None,None,None,None,tet(C) (tet(C)_AY046276)
SRR1544433_1.trim.fq.gz,None,None,None,None,None,None,tet(C) (tet(C)_AF055345)
SRR1556103_1.trim.fq.gz,None,None,None,None,None,None,None
SRR1574320_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,tet(A) (tet(A)_AF534183)
SRR1598889_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR1636987_1.trim.fq.gz,None,None,None,None,None,None,None
SRR1783171_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR1805574_1.trim.fq.gz,None,None,None,None,None,None,"tet(A) (tet(A)_AJ517790), tet(A) (tet(A)_AF534183)"
SRR1805653_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR1813446_1.trim.fq.gz,None,None,None,None,None,None,"tet(A) (tet(A)_AJ517790), tet(A) (tet(A)_AF534183)"
SRR1946938_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR1951843_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2070987_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407532_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407533_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,"cmlA1 (cmlA1_M64556), floR (floR_AF118107)",None,ant(2'')-Ia (ant(2'')-Ia_X04555),None,tet(A) (tet(A)_AF534183)
SRR2407534_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR2407535_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407536_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407537_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407538_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407539_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407541_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407543_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407544_1.trim.fq.gz,None,None,None,None,aac(3)-IV (aac(3)-IV_DQ241380),None,tet(B) (tet(B)_AF326777)
SRR2407545_1.trim.fq.gz,None,None,None,None,aac(3)-IV (aac(3)-IV_DQ241380),None,tet(B) (tet(B)_AF326777)
SRR2407546_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407547_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AJ517790)
SRR2407548_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407549_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),cmlA1 (cmlA1_M64556),None,ant(2'')-Ia (ant(2'')-Ia_X04555),None,None
SRR2407550_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,aac(3)-IId (aac(3)-IId_EU022314),None,tet(A) (tet(A)_AF534183)
SRR2407551_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,None,None,tet(B) (tet(B)_AP000342)
SRR2407552_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407553_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407554_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AP000342)
SRR2407555_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407556_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407557_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AP000342)
SRR2407558_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407559_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407560_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407561_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407562_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407563_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407564_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407566_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407567_1.trim.fq.gz,None,None,floR (floR_AF118107),None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,tet(A) (tet(A)_AF534183)
SRR2407568_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407569_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AJ517790)
SRR2407570_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407571_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407572_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407573_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407574_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407575_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407576_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407577_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407578_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407579_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407580_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407581_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407582_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407583_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407584_1.trim.fq.gz,blaTEM-1C (blaTEM-1C_FJ560503),None,None,None,None,None,None
SRR2407585_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407586_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407587_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407588_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,aac(3)-IId (aac(3)-IId_EU022314),None,"tet(A) (tet(A)_AJ517790), tet(A) (tet(A)_AF534183)"
SRR2407589_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,aac(3)-IId (aac(3)-IId_EU022314),None,tet(A) (tet(A)_AF534183)
SRR2407590_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407591_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407592_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407593_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407594_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407595_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407596_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407597_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407598_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407599_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407602_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407603_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407604_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407605_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407606_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407607_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407608_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407609_1.trim.fq.gz,"blaCMY-2 (blaCMY-2_X91840), blaTEM-1B (blaTEM-1B_AY458016)",blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AJ517790)
SRR2407611_1.trim.fq.gz,blaTEM-1C (blaTEM-1C_FJ560503),None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407612_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407613_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407614_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407615_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407616_1.trim.fq.gz,"blaCMY-2 (blaCMY-2_X91840), blaTEM-1B (blaTEM-1B_AY458016)",blaCMY-2 (blaCMY-2_X91840),floR (floR_AF118107),None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,tet(A) (tet(A)_AF534183)
SRR2407617_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407618_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407619_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),floR (floR_AF118107),gyrA (p.D87N),None,gyrA (p.D87N),tet(A) (tet(A)_AF534183)
SRR2407620_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407622_1.trim.fq.gz,"blaTEM-1A (blaTEM-1A_HM749966), blaTEM-82 (blaTEM-82_AF427128)",None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407623_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407624_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407625_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407626_1.trim.fq.gz,blaTEM-1B (blaTEM-1B_AY458016),None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407627_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407628_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407629_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407630_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407631_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AJ517790)
SRR2407632_1.trim.fq.gz,None,None,None,None,aac(3)-VIa (aac(3)-VIa_NC_009838),None,None
SRR2407633_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407634_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407635_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407636_1.trim.fq.gz,"blaCMY-2 (blaCMY-2_X91840), blaTEM-1B (blaTEM-1B_AY458016)",blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AJ517790)
SRR2407637_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407638_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407639_1.trim.fq.gz,blaCMY-2 (blaCMY-2_X91840),blaCMY-2 (blaCMY-2_X91840),None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407640_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407641_1.trim.fq.gz,None,None,None,None,None,None,tet(B) (tet(B)_AF326777)
SRR2407642_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AF534183)
SRR2407643_1.trim.fq.gz,None,None,None,None,None,None,None
SRR2407644_1.trim.fq.gz,None,None,None,None,None,None,tet(A) (tet(A)_AJ517790)
